"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_22B_39.OKA","5/17/2022 1:54:44 PM","22-B","PM03B","ybaO R2","E. coli","E. coli","",0.0000,"18.0222","13.0373","13.7478","11.7049","11.0000","11.0000","11.0000","11.0000","11.0000","12.5686","16.6155","20.7761","15.8016","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.1454","27.0143","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.9254","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5422","11.0000","11.0000","11.0000","11.0000","11.0000","55.7681","59.3084","11.0000","11.0000","11.0000","11.0000","11.9365","14.1261","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8280","11.0000","11.0000","11.9152","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.6773"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_22B_39.OKA","5/17/2022 1:54:44 PM","22-B","PM03B","ybaO R2","E. coli","E. coli","",0.2500,"26.0930","20.8424","13.6209","18.2113","17.7500","14.8824","14.3947","14.6782","17.4437","15.6220","22.4554","27.0493","17.9016","11.7920","11.0000","11.0000","11.0000","11.8040","11.0000","12.8699","11.0000","15.5347","11.5053","17.0259","28.1711","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.7775","16.7114","15.4737","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0316","19.5093","17.6980","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.0333","17.9088","11.0000","11.0000","11.0000","11.0000","41.1803","64.4893","11.0000","11.0000","11.0000","11.0000","19.3789","11.9102","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.3543","15.2002","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.0531","21.1088"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_22B_39.OKA","5/17/2022 1:54:44 PM","22-B","PM03B","ybaO R2","E. coli","E. coli","",0.5000,"21.7768","18.0699","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4403","14.5411","21.1183","23.6137","16.8494","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1892","17.8264","16.7316","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.6059","11.1878","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.2510","13.5811","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.7084","13.2864","11.0000","11.0000","11.0000","11.0000","43.0022","64.9667","11.0000","11.0000","11.0000","11.0000","20.2756","12.1856","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.3707","12.7410","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.3123"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_22B_39.OKA","5/17/2022 1:54:44 PM","22-B","PM03B","ybaO R2","E. coli","E. coli","",0.7500,"21.7049","20.0809","12.0639","11.0312","12.2794","11.0000","11.0000","11.0000","13.1219","14.2896","20.3483","27.0547","11.9875","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.2321","18.9439","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.6979","11.7526","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9974","12.7098","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.4197","11.2777","11.0000","11.0000","11.0000","11.0000","41.1219","65.0279","11.0000","11.0000","12.4317","14.3748","20.6152","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.1901","14.7534","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1643","17.4427"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_22B_39.OKA","5/17/2022 1:54:44 PM","22-B","PM03B","ybaO R2","E. coli","E. coli","",1.0000,"21.0340","19.9453","11.0000","12.1865","11.0311","11.0000","11.0000","11.6278","11.0000","13.3921","19.9125","30.3364","16.1034","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.6500","18.2339","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.0793","11.6232","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.4503","13.0083","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.6714","22.6351","15.0622","11.0000","11.0000","11.0000","11.0000","46.5727","66.5268","11.0000","11.0000","11.0000","12.0648","24.3107","12.3718","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.4792","16.7872","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.2856","19.4895"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_22B_39.OKA","5/17/2022 1:54:44 PM","22-B","PM03B","ybaO R2","E. coli","E. coli","",1.2500,"21.3334","20.7771","11.4188","13.1098","11.0000","11.0000","11.0000","11.0000","11.0000","15.9817","21.2121","31.9903","17.6892","11.5255","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.6765","18.1091","18.0285","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.7838","12.7252","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.7156","17.1682","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.1913","20.0720","17.4018","11.0000","11.0000","11.0000","11.0000","46.7409","63.3780","11.0000","11.0000","11.0000","11.0000","17.6067","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.7763","14.7589","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.7933"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_22B_39.OKA","5/17/2022 1:54:44 PM","22-B","PM03B","ybaO R2","E. coli","E. coli","",1.5000,"18.5072","19.0995","12.2562","12.6384","11.0624","11.0000","11.0000","11.0000","11.0000","15.2183","23.3504","28.9378","13.2453","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.7437","21.9218","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3380","11.0000","11.0000","13.6108","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.0619","12.0054","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.4767","16.9542","11.0000","11.0000","11.0000","11.0000","11.0000","46.4034","57.0532","11.0000","11.0000","11.0000","11.0000","20.2584","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.5416","16.0872","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.6012","23.3282"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_22B_39.OKA","5/17/2022 1:54:44 PM","22-B","PM03B","ybaO R2","E. coli","E. coli","",1.7500,"20.9886","13.4994","13.6392","13.5535","13.5856","11.0000","13.9623","11.0000","11.5961","19.1627","21.0964","30.8233","17.5767","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.1277","17.8364","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.2734","18.0922","12.0315","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.7553","11.5512","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6125","11.0000","11.0000","18.6412","17.0007","13.6561","11.0000","11.0000","11.0000","11.0000","47.2497","62.9455","11.0000","11.0000","11.0000","11.0000","19.6068","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.9347","18.4529","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.4222"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_22B_39.OKA","5/17/2022 1:54:44 PM","22-B","PM03B","ybaO R2","E. coli","E. coli","",2.0000,"21.2727","16.0031","12.1929","13.2577","11.0000","11.0000","11.0631","11.0000","13.1912","16.8997","20.0472","34.1288","18.3938","11.0000","11.0000","11.0000","11.0000","11.2563","11.0000","11.0000","11.0000","11.4117","15.5510","21.4907","16.4491","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.6460","11.0000","11.0000","11.0000","13.5716","11.1253","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.7119","12.1572","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.8019","22.3869","12.6576","11.0000","11.0000","11.3461","11.0000","47.4457","59.3782","11.0000","11.0000","11.9828","12.5409","23.0487","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.5292","22.4013","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.2209","22.6376"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_22B_39.OKA","5/17/2022 1:54:44 PM","22-B","PM03B","ybaO R2","E. coli","E. coli","",2.2500,"24.7929","16.6938","12.8423","15.5036","14.2828","11.0000","12.3561","13.5957","11.0000","14.4318","18.0643","29.8276","15.5179","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.7561","12.4493","14.8248","18.7059","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","24.5162","11.0000","11.0000","11.0620","12.4136","13.7788","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.5938","13.9778","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.0128","11.0000","11.0000","21.5959","21.3852","11.5534","11.0000","11.0000","16.9337","11.0000","45.7420","60.3671","11.0000","11.0000","11.0000","14.6536","18.9751","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.8753","23.3355","13.2197","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4721","19.6678"
